step,reward
0,17.111929241983418
1,16.0
2,14.0
3,21.0
4,32.0
5,27.0
6,31.0
7,35.0
8,28.0
9,17.0
10,30.0
11,35.0
12,33.0
13,24.0
14,24.0
15,23.0
16,25.0
17,38.0
18,20.0
19,29.0
20,22.0
21,33.0
22,29.0
23,22.0
24,19.0
25,25.0
26,26.0
27,33.0
28,31.0
29,10.0
30,28.0
31,14.0
32,23.0
33,20.0
34,21.0
35,25.0
36,31.0
37,27.0
38,27.0
39,19.0
40,23.0
41,26.0
42,25.0
43,28.0
44,27.0
45,23.0
46,32.0
47,28.0
48,26.0
49,29.0
50,23.0
51,25.0
52,20.0
53,34.0
54,30.0
55,32.0
56,18.0
57,24.0
58,35.0
59,33.0
60,36.0
61,30.0
62,24.0
63,25.0
64,25.0
65,36.0
66,24.0
67,27.0
68,30.0
69,38.0
70,24.0
71,27.0
72,28.0
73,14.0
74,20.0
75,28.0
76,31.0
77,24.0
78,26.0
79,17.0
80,19.0
81,27.0
82,27.0
83,27.0
84,31.0
85,20.0
86,24.0
87,22.0
88,22.0
89,36.0
90,10.0
91,30.0
92,26.0
93,25.0
94,18.0
95,26.0
96,23.0
97,35.0
98,20.0
99,30.0
100,17.0
101,30.0
102,13.0
103,19.0
104,9.0
105,25.0
106,19.0
107,29.0
108,14.0
109,25.0
110,25.0
111,21.0
112,23.0
113,15.0
114,22.0
115,29.0
116,31.0
117,31.0
118,25.0
119,26.0
120,15.0
121,22.0
122,23.0
123,26.0
124,21.0
125,37.0
126,34.0
127,37.0
128,33.0
129,25.0
130,25.0
131,27.0
132,24.0
133,29.0
134,31.0
135,29.0
136,30.0
137,19.0
138,27.0
139,18.0
140,28.0
141,13.0
142,24.0
143,25.0
144,15.0
145,26.0
146,15.0
147,20.0
148,16.0
149,20.0
150,20.0
151,20.0
152,21.0
153,20.0
154,23.0
155,29.0
156,27.0
157,22.0
158,28.0
159,40.0
160,28.0
161,29.0
162,26.0
163,24.0
164,10.0
165,25.0
166,26.0
167,28.0
168,30.0
169,22.0
170,23.0
171,31.0
172,18.0
173,33.0
174,41.0
175,30.0
176,24.0
177,36.0
178,30.0
179,27.0
180,25.0
181,23.0
182,20.0
183,19.0
184,27.0
185,38.0
186,31.0
187,29.0
188,22.0
189,43.0
190,37.0
191,15.0
192,30.0
193,30.0
194,30.0
195,33.0
196,41.0
197,25.0
198,20.0
199,29.0
200,23.0
201,31.0
202,26.0
203,31.0
204,22.0
205,30.0
206,23.0
207,22.0
208,27.0
209,36.0
210,26.0
211,18.0
212,18.0
213,10.0
214,23.0
215,20.0
216,21.0
217,20.0
218,27.0
219,23.0
220,14.0
221,20.0
222,22.0
223,10.0
224,18.0
225,26.0
226,17.0
227,20.0
228,21.0
229,26.0
230,27.0
231,10.0
232,15.0
233,34.0
234,33.0
235,20.0
236,25.0
237,31.0
238,27.0
239,25.0
240,27.0
241,37.0
242,33.0
243,33.0
244,25.0
245,37.0
246,37.0
247,25.0
248,24.0
249,36.0
250,31.0
251,30.0
252,26.0
253,33.0
254,36.0
255,37.0
256,31.0
257,20.0
258,29.0
259,29.0
260,28.0
261,30.0
262,37.0
263,27.0
264,36.0
265,29.0
266,24.0
267,20.0
268,25.0
269,24.0
270,29.0
271,15.0
272,10.0
273,24.0
274,14.0
275,34.0
276,24.0
277,23.0
278,21.0
279,24.0
280,30.0
281,17.0
282,33.0
283,28.0
284,19.0
285,16.0
286,18.0
287,25.0
288,27.0
289,32.0
290,31.0
291,29.0
292,31.0
293,27.0
294,19.0
295,26.0
296,26.0
297,15.0
298,25.0
299,25.0
300,30.0
301,26.0
302,27.0
303,14.0
304,25.0
305,20.0
306,15.0
307,15.0
308,24.0
309,36.0
310,27.0
311,31.0
312,30.0
313,27.0
314,30.0
315,33.0
316,43.0
317,32.0
318,34.0
319,28.0
320,36.0
321,31.0
322,33.0
323,39.0
324,34.0
325,31.0
326,23.0
327,33.0
328,31.0
329,27.0
330,31.0
331,22.0
332,28.0
333,31.0
334,27.0
335,25.0
336,29.0
337,26.0
338,22.0
339,34.0
340,29.0
341,23.0
342,19.0
343,29.0
344,23.0
345,26.0
346,15.0
347,33.0
348,18.0
349,23.0
350,23.0
351,30.0
352,22.0
353,18.0
354,21.0
355,15.0
356,15.0
357,30.0
358,33.0
359,30.0
360,27.0
361,27.0
362,15.0
363,15.0
364,24.0
365,18.0
366,24.0
367,32.0
368,32.0
369,29.0
370,19.0
371,23.0
372,30.0
373,17.0
374,23.0
375,28.0
376,30.0
377,21.0
378,24.0
379,29.0
380,26.0
381,29.0
382,30.0
383,27.0
384,27.0
385,28.0
386,28.0
387,27.0
388,26.0
389,26.0
390,18.0
391,25.0
392,32.0
393,23.0
394,25.0
395,28.0
396,22.0
397,23.0
398,26.0
399,41.0
400,24.0
401,25.0
402,20.0
403,27.0
404,35.0
405,30.0
406,34.0
407,37.0
408,34.0
409,19.0
410,30.0
411,30.0
412,47.0
413,33.0
414,28.0
415,28.0
416,38.0
417,37.0
418,32.0
